date,iowa,nebraska,iowa_returns,nebraska_returns,spread
2015-01-01,3.86,3.88,,,0.020000000000000018
2015-02-01,3.8,3.9,-0.015544041450777257,0.005154639175257714,0.10000000000000009
2015-03-01,3.83,3.88,0.007894736842105399,-0.00512820512820511,0.04999999999999982
2015-04-01,3.74,3.83,-0.023498694516971286,-0.012886597938144284,0.08999999999999986
2015-05-01,3.61,3.76,-0.03475935828877019,-0.018276762402088864,0.1499999999999999
2015-06-01,3.58,3.68,-0.008310249307479145,-0.02127659574468077,0.10000000000000009
2015-07-01,3.78,3.82,0.05586592178770933,0.0380434782608694,0.040000000000000036
2015-08-01,3.67,3.72,-0.02910052910052907,-0.02617801047120405,0.050000000000000266
2015-09-01,3.57,3.64,-0.027247956403269824,-0.021505376344086002,0.07000000000000028
2015-10-01,3.58,3.68,0.0028011204481792618,0.01098901098901095,0.10000000000000009
2015-11-01,3.53,3.62,-0.013966480446927498,-0.016304347826086918,0.0900000000000003
2015-12-01,3.53,3.64,0.0,0.005524861878453136,0.11000000000000032
2016-01-01,3.55,3.58,0.0056657223796034994,-0.016483516483516536,0.03000000000000025
2016-02-01,3.48,3.55,-0.019718309859154903,-0.008379888268156499,0.06999999999999984
2016-03-01,3.46,3.49,-0.005747126436781658,-0.016901408450704092,0.03000000000000025
2016-04-01,3.52,3.44,0.01734104046242768,-0.014326647564469996,-0.08000000000000007
2016-05-01,3.6,3.56,0.022727272727272707,0.03488372093023262,-0.040000000000000036
2016-06-01,3.75,3.68,0.04166666666666674,0.03370786516853941,-0.06999999999999984
2016-07-01,3.55,3.63,-0.053333333333333344,-0.013586956521739246,0.08000000000000007
2016-08-01,3.08,3.19,-0.13239436619718303,-0.12121212121212122,0.10999999999999988
2016-09-01,3.08,3.1,0.0,-0.028213166144200552,0.020000000000000018
2016-10-01,3.3,3.3,0.0714285714285714,0.06451612903225801,0.0
2016-11-01,3.2,3.25,-0.030303030303030165,-0.015151515151515138,0.04999999999999982
2016-12-01,3.27,3.28,0.021874999999999867,0.009230769230769154,0.009999999999999787
2017-01-01,3.34,3.31,0.021406727828746197,0.009146341463414753,-0.029999999999999805
2017-02-01,3.39,3.41,0.014970059880239583,0.030211480362537735,0.020000000000000018
2017-03-01,3.43,3.41,0.01179941002949847,0.0,-0.020000000000000018
2017-04-01,3.34,3.37,-0.026239067055393694,-0.011730205278592365,0.03000000000000025
2017-05-01,3.39,3.39,0.014970059880239583,0.005934718100890191,0.0
2017-06-01,3.35,3.38,-0.01179941002949858,-0.002949852507374673,0.029999999999999805
2017-07-01,3.4,3.46,0.014925373134328401,0.02366863905325456,0.06000000000000005
2017-08-01,3.19,3.27,-0.061764705882352944,-0.054913294797687806,0.08000000000000007
2017-09-01,3.21,3.19,0.006269592476489061,-0.024464831804281384,-0.020000000000000018
2017-10-01,3.23,3.28,0.006230529595015577,0.028213166144200663,0.04999999999999982
2017-11-01,3.14,3.2,-0.02786377708978327,-0.024390243902438935,0.06000000000000005
2017-12-01,3.2,3.21,0.019108280254777066,0.0031249999999998224,0.009999999999999787
2018-01-01,3.24,3.24,0.012499999999999956,0.009345794392523477,0.0
2018-02-01,3.33,3.35,0.02777777777777768,0.033950617283950546,0.020000000000000018
2018-03-01,3.43,3.51,0.03003003003003002,0.04776119402985057,0.07999999999999963
2018-04-01,3.52,3.59,0.026239067055393583,0.02279202279202286,0.06999999999999984
2018-05-01,3.57,3.72,0.014204545454545414,0.03621169916434552,0.15000000000000036
2018-06-01,3.54,3.58,-0.008403361344537785,-0.037634408602150615,0.040000000000000036
2018-07-01,3.41,3.45,-0.03672316384180785,-0.03631284916201116,0.040000000000000036
2018-08-01,3.27,3.37,-0.04105571847507339,-0.023188405797101463,0.10000000000000009
2018-09-01,3.29,3.3,0.006116207951070374,-0.020771513353115778,0.009999999999999787
2018-10-01,3.4,3.41,0.033434650455927084,0.03333333333333344,0.010000000000000231
2018-11-01,3.4,3.45,0.0,0.011730205278592365,0.050000000000000266
2018-12-01,3.52,3.49,0.03529411764705892,0.011594202898550732,-0.029999999999999805
2019-01-01,3.52,3.52,0.0,0.008595988538681931,0.0
2019-02-01,3.54,3.55,0.005681818181818121,0.008522727272727293,0.009999999999999787
2019-03-01,3.57,3.58,0.008474576271186418,0.008450704225352101,0.010000000000000231
2019-04-01,3.51,3.49,-0.01680672268907568,-0.025139664804469275,-0.019999999999999574
2019-05-01,3.59,3.62,0.02279202279202286,0.0372492836676217,0.03000000000000025
2019-06-01,3.95,3.91,0.10027855153203347,0.08011049723756902,-0.040000000000000036
2019-07-01,4.11,4.12,0.040506329113924044,0.053708439897698135,0.009999999999999787
2019-08-01,3.91,3.8,-0.048661800486618056,-0.07766990291262144,-0.11000000000000032
2019-09-01,3.72,3.72,-0.04859335038363166,-0.021052631578947323,0.0
2019-10-01,3.79,3.79,0.018817204301075252,0.018817204301075252,0.0
2019-11-01,3.64,3.64,-0.0395778364116095,-0.0395778364116095,0.0
2019-12-01,3.7,3.67,0.016483516483516425,0.008241758241758212,-0.03000000000000025
2020-01-01,3.78,3.7,0.021621621621621623,0.008174386920980936,-0.07999999999999963
2020-02-01,3.74,3.71,-0.01058201058201047,0.002702702702702675,-0.03000000000000025
2020-03-01,3.64,3.63,-0.0267379679144385,-0.021563342318059342,-0.010000000000000231
2020-04-01,3.28,3.24,-0.098901098901099,-0.10743801652892548,-0.03999999999999959
2020-05-01,3.12,3.1,-0.04878048780487798,-0.04320987654320996,-0.020000000000000018
2020-06-01,3.11,3.07,-0.0032051282051283048,-0.00967741935483879,-0.040000000000000036
2020-07-01,3.14,3.14,0.009646302250803984,0.0228013029315961,0.0
2020-08-01,3.08,3.09,-0.019108280254777066,-0.015923566878981,0.009999999999999787
2020-09-01,3.39,3.33,0.10064935064935066,0.07766990291262132,-0.06000000000000005
2020-10-01,3.61,3.57,0.06489675516224191,0.072072072072072,-0.040000000000000036
2020-11-01,3.82,3.76,0.05817174515235446,0.053221288515406195,-0.06000000000000005
2020-12-01,4.05,3.92,0.060209424083769614,0.042553191489361764,-0.1299999999999999
2021-01-01,4.4,4.26,0.08641975308641991,0.08673469387755106,-0.14000000000000057
2021-02-01,4.87,4.64,0.1068181818181817,0.08920187793427226,-0.23000000000000043
2021-03-01,4.89,4.71,0.004106776180698102,0.015086206896551824,-0.17999999999999972
2021-04-01,5.35,5.21,0.09406952965235171,0.10615711252653925,-0.13999999999999968
2021-05-01,6.03,5.84,0.12710280373831795,0.12092130518234168,-0.1900000000000004
2021-06-01,6.19,6.01,0.026533996683250516,0.02910958904109595,-0.1800000000000006
2021-07-01,6.22,6.03,0.004846526655896577,0.0033277870216306127,-0.1899999999999995
2021-08-01,6.38,6.3,0.025723472668810254,0.04477611940298498,-0.08000000000000007
2021-09-01,5.63,5.77,-0.11755485893416928,-0.08412698412698416,0.13999999999999968
2021-10-01,5.02,4.92,-0.10834813499111906,-0.14731369150779894,-0.09999999999999964
2021-11-01,5.23,5.21,0.04183266932270935,0.05894308943089421,-0.020000000000000462
2021-12-01,5.54,5.38,0.05927342256214141,0.03262955854126681,-0.16000000000000014
2022-01-01,5.7,5.57,0.028880866425992746,0.03531598513011169,-0.1299999999999999
2022-02-01,6.11,5.94,0.07192982456140351,0.06642728904847406,-0.16999999999999993
2022-03-01,6.59,6.4,0.07855973813420625,0.07744107744107742,-0.1899999999999995
2022-04-01,7.12,7.07,0.08042488619119892,0.10468750000000004,-0.04999999999999982
2022-05-01,7.34,7.39,0.030898876404494402,0.04526166902404527,0.04999999999999982
2022-06-01,7.48,7.45,0.019073569482289,0.008119079837618504,-0.03000000000000025
2022-07-01,7.44,7.31,-0.005347593582887722,-0.01879194630872494,-0.13000000000000078
2022-08-01,7.4,7.37,-0.005376344086021501,0.008207934336525335,-0.03000000000000025
2022-09-01,7.42,7.14,0.002702702702702675,-0.031207598371777556,-0.28000000000000025
2022-10-01,6.53,6.59,-0.11994609164420478,-0.07703081232492992,0.05999999999999961
2022-11-01,6.5,6.83,-0.004594180704441064,0.036418816388467334,0.33000000000000007
2022-12-01,6.69,6.83,0.029230769230769393,0.0,0.13999999999999968
2023-01-01,6.74,6.93,0.007473841554558991,0.014641288433382194,0.1899999999999995
2023-02-01,6.83,7.05,0.01335311572700304,0.017316017316017396,0.21999999999999975
2023-03-01,6.7,6.9,-0.019033674963396807,-0.02127659574468077,0.20000000000000018
2023-04-01,6.75,6.87,0.00746268656716409,-0.004347826086956608,0.1200000000000001
2023-05-01,6.57,6.87,-0.026666666666666616,0.0,0.2999999999999998
2023-06-01,6.57,6.65,0.0,-0.03202328966521106,0.08000000000000007
2023-07-01,6.33,6.51,-0.0365296803652968,-0.021052631578947434,0.17999999999999972
2023-08-01,5.77,5.97,-0.08846761453396534,-0.08294930875576034,0.20000000000000018
2023-09-01,5.22,5.38,-0.09532062391681106,-0.09882747068676712,0.16000000000000014
2023-10-01,4.96,5.06,-0.04980842911877392,-0.059479553903345805,0.09999999999999964
2023-11-01,4.74,4.85,-0.04435483870967738,-0.04150197628458496,0.10999999999999943
2023-12-01,4.89,4.89,0.03164556962025311,0.008247422680412342,0.0
2024-01-01,4.84,4.87,-0.010224948875255602,-0.004089979550102152,0.03000000000000025
2024-02-01,4.39,4.4,-0.09297520661157033,-0.0965092402464065,0.010000000000000675
2024-03-01,4.43,4.43,0.009111617312072884,0.006818181818181612,0.0
2024-04-01,4.5,4.47,0.015801354401805856,0.009029345372460584,-0.03000000000000025
2024-05-01,4.63,4.62,0.028888888888888964,0.033557046979865834,-0.009999999999999787
2024-06-01,4.6,4.62,-0.006479481641468721,0.0,0.020000000000000462
2024-07-01,4.32,4.49,-0.060869565217391175,-0.02813852813852813,0.16999999999999993
2024-08-01,4.02,3.98,-0.06944444444444464,-0.11358574610244998,-0.03999999999999959
2024-09-01,4.09,4.13,0.017412935323383172,0.03768844221105527,0.040000000000000036
2024-10-01,4.01,4.12,-0.019559902200488977,-0.002421307506053183,0.11000000000000032
2024-11-01,4.12,4.17,0.02743142144638422,0.012135922330096971,0.04999999999999982
2024-12-01,4.27,4.3,0.036407766990291135,0.031175059952038398,0.03000000000000025
2025-01-01,4.37,4.4,0.023419203747072626,0.023255813953488413,0.03000000000000025
2025-02-01,4.59,4.6,0.05034324942791746,0.04545454545454519,0.009999999999999787
2025-03-01,4.53,4.65,-0.013071895424836555,0.010869565217391353,0.1200000000000001
2025-04-01,4.64,4.66,0.024282560706401668,0.0021505376344086446,0.020000000000000462
2025-05-01,4.64,4.67,0.0,0.0021459227467810482,0.03000000000000025
2025-06-01,4.46,4.48,-0.0387931034482758,-0.04068522483940029,0.020000000000000462
2025-07-01,4.2,4.41,-0.058295964125560484,-0.01562500000000011,0.20999999999999996
2025-08-01,3.89,3.97,-0.07380952380952377,-0.09977324263038545,0.08000000000000007
2025-09-01,3.9,4.02,0.0025706940874035134,0.012594458438287104,0.11999999999999966
2025-10-01,3.9,3.96,0.0,-0.01492537313432829,0.06000000000000005
2025-11-01,3.99,4.01,0.023076923076923217,0.012626262626262541,0.019999999999999574
2025-12-01,4.21,4.06,0.05513784461152871,0.012468827930174564,-0.15000000000000036
2026-01-01,4.13,4.08,-0.019002375296912177,0.0049261083743843415,-0.04999999999999982
2026-02-01,4.12,4.01,-0.002421307506053183,-0.01715686274509809,-0.11000000000000032
2026-03-01,4.28,4.16,0.03883495145631066,0.03740648379052369,-0.1200000000000001
2026-04-01,4.29,4.23,0.002336448598130758,0.016826923076923128,-0.05999999999999961
2026-05-01,4.45,4.43,0.037296037296037365,0.047281323877068404,-0.020000000000000462
