date,iowa,ohio,iowa_returns,ohio_returns,spread
2015-01-01,3.86,3.87,,,0.010000000000000231
2015-02-01,3.8,3.95,-0.015544041450777257,0.02067183462532296,0.15000000000000036
2015-03-01,3.83,3.93,0.007894736842105399,-0.005063291139240533,0.10000000000000009
2015-04-01,3.74,3.83,-0.023498694516971286,-0.025445292620865145,0.08999999999999986
2015-05-01,3.61,3.71,-0.03475935828877019,-0.031331592689295085,0.10000000000000009
2015-06-01,3.58,3.71,-0.008310249307479145,0.0,0.1299999999999999
2015-07-01,3.78,4.02,0.05586592178770933,0.08355795148247958,0.23999999999999977
2015-08-01,3.67,3.94,-0.02910052910052907,-0.01990049751243772,0.27
2015-09-01,3.57,3.82,-0.027247956403269824,-0.030456852791878153,0.25
2015-10-01,3.58,3.79,0.0028011204481792618,-0.007853403141361182,0.20999999999999996
2015-11-01,3.53,3.87,-0.013966480446927498,0.02110817941952514,0.3400000000000003
2015-12-01,3.53,4.01,0.0,0.036175710594315236,0.48
2016-01-01,3.55,3.9,0.0056657223796034994,-0.027431421446383997,0.3500000000000001
2016-02-01,3.48,3.86,-0.019718309859154903,-0.01025641025641022,0.3799999999999999
2016-03-01,3.46,3.87,-0.005747126436781658,0.002590673575129543,0.41000000000000014
2016-04-01,3.52,3.91,0.01734104046242768,0.010335917312661591,0.3900000000000001
2016-05-01,3.6,4.02,0.022727272727272707,0.028132992327365658,0.4199999999999995
2016-06-01,3.75,4.19,0.04166666666666674,0.042288557213930655,0.4400000000000004
2016-07-01,3.55,3.81,-0.053333333333333344,-0.09069212410501204,0.26000000000000023
2016-08-01,3.08,3.57,-0.13239436619718303,-0.06299212598425208,0.48999999999999977
2016-09-01,3.08,3.3,0.0,-0.07563025210084029,0.21999999999999975
2016-10-01,3.3,3.45,0.0714285714285714,0.045454545454545636,0.15000000000000036
2016-11-01,3.2,3.44,-0.030303030303030165,-0.0028985507246377384,0.23999999999999977
2016-12-01,3.27,3.57,0.021874999999999867,0.03779069767441867,0.2999999999999998
2017-01-01,3.34,3.65,0.021406727828746197,0.022408963585434094,0.31000000000000005
2017-02-01,3.39,3.69,0.014970059880239583,0.010958904109588996,0.2999999999999998
2017-03-01,3.43,3.69,0.01179941002949847,0.0,0.2599999999999998
2017-04-01,3.34,3.67,-0.026239067055393694,-0.005420054200542035,0.33000000000000007
2017-05-01,3.39,3.74,0.014970059880239583,0.019073569482289,0.3500000000000001
2017-06-01,3.35,3.78,-0.01179941002949858,0.010695187165775222,0.4299999999999997
2017-07-01,3.4,3.83,0.014925373134328401,0.013227513227513255,0.43000000000000016
2017-08-01,3.19,3.6,-0.061764705882352944,-0.06005221932114879,0.41000000000000014
2017-09-01,3.21,3.49,0.006269592476489061,-0.030555555555555558,0.28000000000000025
