series,adf_stat,p_value,n_obs,stationary_at_5pct
iowa_price,-1.6012894492744156,0.4829457042042409,132,False
ohio_price,-1.8230726343489574,0.3690684206195556,132,False
iowa_returns,-7.531848289671994,3.5614182624975825e-11,135,True
ohio_returns,-8.020093783500586,2.087546345995966e-12,135,True
