,,,,Marketwise Price & Arrival Report (28-06-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 28 Jun, 2026","Price on 27 Jun, 2026","Price on 26 Jun, 2026","Arrival on 28 Jun, 2026","Arrival on 27 Jun, 2026","Arrival on 26 Jun, 2026"
Vegetables,Onion,-,2419.84,2334.27,1646.93,554.49,298.50,1304.19
Vegetables,Tomato,-,2650.19,2121.13,2642.27,374.25,352.07,910.18

