window_end,eg_score,p_value,cointegrated_5pct
2019-12-01,-4.844785954226195,0.0003143707771065261,True
2020-01-01,-4.548310927375761,0.0010189274095904503,True
2020-02-01,-4.610603904762687,0.0008012030848422732,True
2020-03-01,-4.74659549109298,0.00046818504420625105,True
2020-04-01,-5.089798184994196,0.00011219402142695086,True
2020-05-01,-5.060621900287269,0.00012717771824263206,True
2020-06-01,-4.791525319098265,0.0003905980371321197,True
2020-07-01,-4.901255481180353,0.00024905281376206315,True
2020-08-01,-3.2392470974102565,0.06360593340666366,False
2020-09-01,-3.35440920466473,0.04767254777924524,True
2020-10-01,-3.0381115491861057,0.10142190886525643,False
2020-11-01,-3.1153758050197604,0.08525616740032327,False
2020-12-01,-2.7068385118787206,0.19712877936721335,False
2021-01-01,-2.435505540046804,0.3082283668308672,False
2021-02-01,-3.2348399815783946,0.0642920785493172,False
2021-03-01,-3.420460117523436,0.040128266837786815,True
2021-04-01,-3.716335331879802,0.017457874852513537,True
2021-05-01,-3.507994929346556,0.03169320643268527,True
2021-06-01,-3.488435476060336,0.03343441994492659,True
2021-07-01,-3.056082657726485,0.09746863595208288,False
2021-08-01,-2.6395514792530506,0.2220682769927136,False
2021-09-01,-2.83284814230873,0.15545663088335926,False
2021-10-01,-4.796427761736436,0.00038291010193531645,True
2021-11-01,-3.06265277074586,0.09605302267831162,False
2021-12-01,-3.0950455556542344,0.089302237450185,False
2022-01-01,-3.119015874858818,0.08454699915649516,False
2022-02-01,-3.1205842876841374,0.08424285467131015,False
2022-03-01,-3.1252576243488703,0.08334165457372295,False
2022-04-01,-3.12200171520761,0.08396872208770034,False
2022-05-01,-4.0449209641980755,0.006190102171046413,True
2022-06-01,-4.267936127668582,0.002871276198545447,True
2022-07-01,-4.539314632085065,0.0010546054808413029,True
2022-08-01,-4.301211863600857,0.0025493074276402455,True
2022-09-01,-4.583589427387072,0.0008896339847040204,True
2022-10-01,-3.106607740847435,0.08698335402217577,False
2022-11-01,-3.568353598441249,0.026798209849853333,True
2022-12-01,-4.1659612887133735,0.004105449618006714,True
2023-01-01,-3.8313116381384726,0.012307187001354861,True
2023-02-01,-3.6051732545422346,0.024142781393998433,True
2023-03-01,-3.5369724376736884,0.02925560870313767,True
2023-04-01,-3.823765397940993,0.01259840112168583,True
2023-05-01,-3.198813529405542,0.07012644279246336,False
2023-06-01,-3.7448179354497086,0.016031069766324135,True
2023-07-01,-2.496593846275929,0.2805733052548114,False
2023-08-01,-2.342433701256941,0.3525807977619494,False
2023-09-01,-3.452473916437689,0.03684749511101863,True
2023-10-01,-3.5360008261548552,0.02933466959876398,True
2023-11-01,-2.4005459132898546,0.32459646659039293,False
2023-12-01,-3.5422350288863553,0.02883054227197367,True
2024-01-01,-2.5305037076082173,0.26578421948568465,False
2024-02-01,-2.5168958987509056,0.27166870010930383,False
2024-03-01,-2.5490229788648997,0.25788674229722847,False
2024-04-01,-2.5331756284405937,0.2646368414699878,False
2024-05-01,-2.547121995724844,0.2586914465370559,False
2024-06-01,-2.5341382439447937,0.2642241270083822,False
2024-07-01,-3.354244549578267,0.04769272712744258,True
2024-08-01,-2.553888412754822,0.25583343074416687,False
2024-09-01,-2.536173388611241,0.2633527140164753,False
2024-10-01,-2.4674361438782175,0.2936163727832586,False
2024-11-01,-2.4855185240032562,0.28549288089389113,False
2024-12-01,-2.5163569275131477,0.27190317038924683,False
2025-01-01,-2.51106480804787,0.27421103533633,False
2025-02-01,-2.518919818889629,0.2707891759102261,False
2025-03-01,-2.4567049220465216,0.29848977483261147,False
2025-04-01,-2.493388049391874,0.2819928589343207,False
2025-05-01,-2.5125510060668392,0.27356188464026854,False
2025-06-01,-2.5179526270069172,0.2712092964308511,False
2025-07-01,-3.4030844615789446,0.04200903433179031,True
2025-08-01,-2.4006226895662963,0.32456011652220684,False
2025-09-01,-2.400292697253902,0.32471636508249385,False
2025-10-01,-2.4967103323884032,0.28052179270239574,False
2025-11-01,-2.6123892067378787,0.23186797415027732,False
2025-12-01,-3.663242922142275,0.02041639593292668,True
2026-01-01,-3.9900040907684917,0.007420488023183069,True
2026-02-01,-3.9429838683862615,0.008644718374586038,True
2026-03-01,-3.906104077160218,0.009728694174227342,True
2026-04-01,-4.129580441722411,0.004652126885387097,True
2026-05-01,-3.263198704686101,0.0599792805942795,False
